Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
FIRST Digital (Virtual UPI),https://www.idfcfirst.bank.in/credit-card/rupay-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Power,https://www.idfcfirst.bank.in/credit-card/hpcl-power-fuel-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Power+,https://www.idfcfirst.bank.in/credit-card/hpcl-power-fuel-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
LIC Classic,https://www.idfcfirst.bank.in/credit-card/lic-classic-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
LIC Select,https://www.idfcfirst.bank.in/credit-card/lic-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Business Credit Card (SME),https://www.idfcfirst.bank.in/credit-card/business-credit-card-sme,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Credit Card,https://www.idfcfirst.bank.in/credit-card/corporate-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Credit Card,https://www.idfcfirst.bank.in/credit-card/purchase-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
EazyDiner IndusInd Bank Platinum Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/eazydiner-platinum-credit-card.html ​,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
CRED IndusInd Bank RuPay Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/CRED-IndusInd-Bank-ruPay-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndusInd Bank Jio-bp Mobility+ Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/jio-bp-mobility-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/poonawalla-platinum-rupay-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Indus Solitaire Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/solitaire-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pioneer Private Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/pioneer-private.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndusInd Platinum RuPay Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/platinum-rupay-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Samman Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/samman-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ePay Amex Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/epay-amex-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndusInd Bank Avios Visa Infinite Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/avios-visa-infinite-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
EazyDiner Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/eazydiner-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Club Vistara Explorer Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/club-vistara-indusInd-bank-explorer-credit-card.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Nexxt Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/nexxt-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Legend Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/legend-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndusInd Bank Tiger Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/tiger-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Indulge Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/indulge-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pioneer Heritage Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/pioneer-heritage-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pioneer Legacy Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/pioneer-legacy-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Crest Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/crest-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Celesta Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/celesta-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pinnacle Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/pinnacle-world-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Aura Edge Credit Card (Government - Discontinued),https://www.indusind.bank.in/in/en/personal/cards/credit-card/platinum-aura-edge-credit-card-for-government-employees.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Platinum Visa Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/platinum-visa-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Aura Edge Visa/Master Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/platinum-aura-edge-visa-and-mastercard-credit-card-easy-credit.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Platinum Master Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/platinum-master-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
InterMiles Odyssey Amex Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/intermiles-odyssey-amex-credit-card.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles Odyssey Visa Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/intermiles-odyssey-visa-credit-card.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles Voyage Amex Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/intermiles-voyage-amex-credit-card.html,Indusind Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles Voyage Visa Credit Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/intermiles-voyage-visa-credit-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Duo Card,https://www.indusind.bank.in/in/en/personal/cards/credit-card/duo-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
eSvarna Corporate Card,https://www.indusind.bank.in/in/en/personal/cards/commercial-cards/corporate-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Contactless Corporate Card,https://www.indusind.bank.in/in/en/personal/cards/commercial-cards/contactless-corporate-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fortuna Prima Card,https://www.indusind.bank.in/in/en/personal/cards/commercial-cards/fortuna-prima-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fortuna AdvantEdge Card,https://www.indusind.bank.in/in/en/personal/cards/commercial-cards/fortuna-advantedge-card.html,Indusind Bank,Active,,,,,,,,,,,,,,,,,,,,,,
KVB Platinum Credit Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/kvb-credit-card/kvb-platinum-credit-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
KVB Honour Credit Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/kvb-credit-card/kvb-honour-credit-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
KVB Corporate Credit Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/kvb-credit-card/kvb-corporate-credit-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya SBI Gold Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/co-branded-kvb-sbi-credit/kvb-gold-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya SBI Platinum Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/co-branded-kvb-sbi-credit/kvb-sbi-platinum-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya SBI Signature Card,https://www.kvb.bank.in/personal/cards/kvb-credit-cards/co-branded-kvb-sbi-credit/kvb-sbi-signature-card/,,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak Solitaire Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/kotak-solitaire-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndianOil Kotak Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/indian-oil-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Zen Signature Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/zen-signature-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak Air+ Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/kotak-air-plus-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Solitaire Business Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/solitaire-business-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
League Platinum Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/league-platinum-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PVR INOX Kotak Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/pvr-inox-kotak-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
White Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/white-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Kotak Biz Edge Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/biz-edge-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak 811 Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/kotak-811-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PVR Kotak Platinum Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/pvr-platinum-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Kotak IndiGo 6E Rewards XL Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/indigo-kotak-xl-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndiGo Kotak XL Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/indigo-xl-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndiGo Kotak Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/indigo-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak Purchase Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/purchase-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PVR Kotak Gold Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/pvr-gold-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
811 Dream Different Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/811-dream-different-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak Cashback+ Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/kotak-cashback-plus-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak UPI RuPay Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/kotak-upi-rupay-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Kotak Infinite Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/wealth-management-infinite-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
White Reserve Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/white-reserve-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mojo Platinum Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/mojo-platinum-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
IndiGo 6E Rewards Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/indigo-kotak-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Urbane Gold Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/urbane-gold-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Corporate Gold Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-gold-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Corporate Platinum Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-platinum-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Royale Signature Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/royale-signature-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Privy League Signature Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/privy-league-signature-credit-card.html,Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Corporate Wealth Signature Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-wealth-signature-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
NRI Royale Signature Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/nri-royale-signature-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Biz Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/biz-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Solitaire Business Credit Card,"https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/solitaire-business-credit-card.html - Business-focused with low 1.99% p.m. rate, 7X rewards.​",Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/purchase-credit-card.html -,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Wealth Signature Credit Card,"https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-wealth-signature-credit-card.html - 8 domestic lounges, Priority Pass, fuel/rail waivers",Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Platinum Credit Card,"https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-platinum-credit-card.html - NIL fees, lounge access, cashbacks",Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Gold Credit Card,"https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/corporate-gold-card.html - SMS alerts, free replacement",Kotak Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
TMC Credit Card,https://www.kotak.bank.in/en/personal-banking/cards/credit-cards/purchase-credit-card.html,Kotak Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Global Platinum Credit Card,https://www.pnbcard.in/types3.html ​,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Global Gold Credit Card,https://www.pnbcard.in/types1.html ​,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Global Classic Credit Card,https://www.pnbcard.in/types2.html ​,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB RuPay Platinum Card,https://www.pnbcard.in/types5.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB RuPay Select Card,https://www.pnbcard.in/types6.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB RuPay Millennial Card,https://www.pnbcard.in/types10.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Rakshak RuPay Platinum Card,https://www.pnbcard.in/types7.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Rakshak RuPay Select Card,https://www.pnbcard.in/types8.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Visa Signature Card,https://www.pnbcard.in/types9.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Wave & Pay Credit Card,https://www.pnbcard.in/types4.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Patanjali RuPay Select Card,https://www.pnbcard.in/types11.html,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
PNB Patanjali RuPay Platinum Card,https://www.pnbcard.in/types12.html [qu,PNB ,Active,,,,,,,,,,,,,,,,,,,,,,
CASHBACK SBI Card,https://www.sbicard.com/en/personal/credit-cards/rewards/cashback-sbi-card.page​,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Flipkart SBI Card,https://www.sbicard.com/en/personal/credit-cards/rewards/flipkart-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
IndiGo SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/indigo-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SimplyCLICK SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/simplyclick-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Neu Infinity SBI Card,https://www.sbicard.com/en/personal/credit-cards/lifestyle/tata-neu-infinity-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card Miles Elite,https://www.sbicard.com/en/personal/credit-cards/travel/sbi-card-miles-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/rewards/sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card PULSE,https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-pulse.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Neu Plus SBI Card,https://www.sbicard.com/en/personal/credit-cards/lifestyle/tata-neu-plus-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Doctor's SBI Card (IMA),https://www.sbicard.com/en/personal/credit-cards/lifestyle/doctors-ima-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card ELITE Advantage,https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite-advantage.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Doctor's SBI Card,https://www.sbicard.com/en/personal/credit-cards/lifestyle/doctors-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PhonePe SBI Card SELECT BLACK,https://www.sbicard.com/en/personal/credit-cards/rewards/phonepe-sbi-card-select-black.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PhonePe SBI Card PURPLE,https://www.sbicard.com/en/personal/credit-cards/rewards/phonepe-sbi-card-purple.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
OLA Money SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/ola-money-sbi-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Apollo SBI Card SELECT,https://www.sbicard.com/en/personal/credit-cards/rewards/apollo-sbi-card-select.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Apollo SBI Card,https://www.sbicard.com/en/personal/credit-cards/rewards/apollo-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card PRIME Advantage,https://www.sbicard.com/en/personal/credit-cards/rewards/sbi-card-prime-advantage.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Card SELECT,https://www.tatacard.com/,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Card,https://www.tatacard.com/,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Paytm SBI Card SELECT,https://www.sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card-select.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Paytm SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Landmark Rewards SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/shopping/landmark-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Landmark Rewards SBI Card SELECT,https://www.sbicard.com/en/personal/credit-cards/shopping/landmark-sbi-card-select.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Landmark Rewards SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/landmark-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Titan SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/titan-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Reliance SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Reliance SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card Unnati,https://www.sbicard.com/en/personal/credit-cards/shopping/sbi-card-unnati.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SimplyCLICK Advantage SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/simplyclick-advantage-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SimplySAVE Advantage SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/simplysave-advantage-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Shaurya SBI Card,https://www.sbicard.com/en/personal/credit-cards/defense/shaurya-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Shaurya Select SBI Card,https://www.sbicard.com/en/personal/credit-cards/defense/shaurya-select-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/shopping/simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
IndiGo SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/travel/indigo-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KrisFlyer SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/krisflyer-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KrisFlyer SBI Card Apex,https://www.sbicard.com/en/personal/credit-cards/travel/krisflyer-sbi-card-apex.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card MILES PRIME,https://www.sbicard.com/en/personal/credit-cards/travel/sbi-card-miles-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Card MILES,https://www.sbicard.com/en/personal/credit-cards/travel/sbi-card-miles.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
BPCL SBI Card OCTANE,https://www.sbicard.com/en/personal/credit-cards/travel/bpcl-sbi-card-octane.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
IRCTC SBI Card Premier,https://www.sbicard.com/en/personal/credit-cards/travel/irctc-premier-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Etihad Guest SBI Premier Card,https://www.sbicard.com/en/personal/credit-cards/travel/etihad-guest-sbi-premier-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Etihad Guest SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/etihad-guest-sbi-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
BPCL SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/bpcl-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Club Vistara SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/travel/club-vistara-sbi-card-prime.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Club Vistara SBI Card,https://www.sbicard.com/en/personal/credit-cards/travel/club-vistara-sbi-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Air India SBI Signature Card,https://www.sbicard.com/en/personal/credit-cards/travel/air-india-sbi-signature-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Air India SBI Platinum Card,https://www.sbicard.com/en/personal/credit-cards/travel/air-india-sbi-platinum-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
IRCTC SBI Platinum Card,https://www.sbicard.com/en/personal/credit-cards/travel/irctc-sbi-platinum-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Bank of Maharashtra SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/bom-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Bank of Maharashtra SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/bom-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Bank of Maharashtra SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/bom-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
