Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
ABC Pro Credit Card,https://www.au.bank.in/personal-banking/credit-cards/abc-pro-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AU Fi MagniFi Credit Card,https://www.au.bank.in/personal-banking/credit-cards/magnifi-cc,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AU KOSMO Credit Card,https://www.au.bank.in/personal-banking/credit-cards/kosmo-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Traverse Credit Card,https://www.au.bank.in/personal-banking/credit-cards/traverse-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AU Corporate Credit Card,https://www.au.bank.in/personal-banking/commercial-credit-cards/corporate-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Business Cashback Credit Card,https://www.au.bank.in/personal-banking/commercial-credit-cards/business-cashback-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ABC Biz Credit Card,https://www.au.bank.in/personal-banking/credit-cards/abc-biz-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AXIS BANK PRIVILEGE Credit Card,https://www.axis.bank.in/cards/credit-card/privilege-credit-card-with-unlimited-benefits,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
FLIPKART AXIS BANK Credit Card,https://www.axis.bank.in/cards/credit-card/flipkart-axisbank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Neo Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-neo-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
INDIANOIL AXIS BANK Credit Card,https://www.axis.bank.in/cards/credit-card/indianoil-axis-bank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank My Zone Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-my-zone-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank ACE Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-ace-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank REWARDS Credit Card,https://www.axis.bank.in/cards/credit-card/rewards-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Google Pay Flex Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/google-pay-flex-axis-bank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Airtel Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/airtel-axis-bank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
HORIZON Credit Card,https://www.axis.bank.in/cards/credit-card/axis-horizon-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Select Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-select-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Cashback Credit Card,https://www.axis.bank.in/cards/credit-card/cashback-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AXIS BANK MAGNUS Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-magnus-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Reserve Credit Card,https://www.axis.bank.in/cards/credit-card/reserve-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank MY Zone Easy Credit Card,https://www.axis.bank.in/cards/credit-card/my-zone-easy-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
